Intent,User_Query,Response,Language,Category,Action_Required,User_Query_Normalized,Keywords
fayoum_attractions,Visit وادي الحيتان ASAP,"You can find all details about وادي الحيتان, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Visit وادي الحيتان ASAP,"visit, وادي, الحيتان, asap"
fayoum_hotels,تقييم فندق أوبرج الفيوم لو سمحت,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,تقييم فندق اوبرج الفيوم لو سمحت,"تقييم, فندق, اوبرج, الفيوم, سمحت"
fayoum_hotels,أسعار فنادق قرية تونس,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اسعار فنادق قريه تونس,"اسعار, فنادق, قريه, تونس"
fayoum_hotels,Hotel in Fayoum kindly,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Hotel in Fayoum kindly,"hotel, fayoum, kindly"
fayoum_attractions,معلومات شلالات الفيوم,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,معلومات شلالات الفيوم,"معلومات, شلالات, الفيوم"
fayoum_attractions,جمال وادي الريان مساعدة,يمكنك معرفة كافة التفاصيل عن وادي الريان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,جمال وادي الريان مساعده,"جمال, وادي, الريان, مساعده"
fayoum_emergency,Fayoum emergency,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum emergency,"fayoum, emergency"
fayoum_hotels,أوضة في بيوم ليك سايد ريزورت من فضلك,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اوضه في بيوم ليك سايد ريزورت من فضلك,"اوضه, بيوم, ليك, سايد, ريزورت, فضلك"
fayoum_emergency,إسعاف الفيوم الآن,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,اسعاف الفيوم الان,"اسعاف, الفيوم, الان"
fayoum_emergency,دكتور الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,دكتور الفيوم مساعده,"دكتور, الفيوم, مساعده"
fayoum_emergency,Pharmacy Fayoum help,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Pharmacy Fayoum help,"pharmacy, fayoum, help"
fayoum_attractions,هرم هوارة hours please,"You can find all details about هرم هوارة, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,هرم هواره hours please,"هرم, هواره, hours"
fayoum_emergency,إسعاف الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,اسعاف الفيوم مساعده,"اسعاف, الفيوم, مساعده"
fayoum_emergency,أمن الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,امن الفيوم مساعده,"امن, الفيوم, مساعده"
fayoum_emergency,Fayoum ambulance help,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance help,"fayoum, ambulance, help"
fayoum_attractions,أنشطة هرم هوارة الآن,يمكنك معرفة كافة التفاصيل عن هرم هوارة والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه هرم هواره الان,"انشطه, هرم, هواره, الان"
fayoum_emergency,Report Fayoum please,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Report Fayoum please,"report, fayoum"
fayoum_emergency,Accident Fayoum please,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Accident Fayoum please,"accident, fayoum"
fayoum_hotels,موقع فندق كوم الدكة لو سمحت,لحجز إقامتك في فندق كوم الدكة، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,موقع فندق كوم الدكه لو سمحت,"موقع, فندق, كوم, الدكه, سمحت"
fayoum_attractions,عايز أزور شلالات الفيوم لو سمحت,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,عايز ازور شلالات الفيوم لو سمحت,"ازور, شلالات, الفيوم, سمحت"
fayoum_hotels,إقامة في بيوم ليك سايد ريزورت من فضلك,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اقامه في بيوم ليك سايد ريزورت من فضلك,"اقامه, بيوم, ليك, سايد, ريزورت, فضلك"
fayoum_hotels,فندق زاد المسافر rating,"To book your stay at فندق زاد المسافر, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق زاد المسافر rating,"فندق, زاد, المسافر, rating"
fayoum_hotels,فندق أوبرج الفيوم address please,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق اوبرج الفيوم address please,"فندق, اوبرج, الفيوم, address"
fayoum_emergency,حادث الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,حادث الفيوم لو سمحت,"حادث, الفيوم, سمحت"
fayoum_attractions,تذكرة وادي الحيتان يا فندم,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,تذكره وادي الحيتان يا فندم,"تذكره, وادي, الحيتان, فندم"
fayoum_attractions,مواعيد مدينة كرانبس,يمكنك معرفة كافة التفاصيل عن مدينة كرانبس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,مواعيد مدينه كرانبس,"مواعيد, مدينه, كرانبس"
fayoum_attractions,جمال شلالات الفيوم من فضلك,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,جمال شلالات الفيوم من فضلك,"جمال, شلالات, الفيوم, فضلك"
fayoum_hotels,Book فندق زاد المسافر ASAP,"To book your stay at فندق زاد المسافر, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Book فندق زاد المسافر ASAP,"book, فندق, زاد, المسافر, asap"
fayoum_hotels,سكن في الفيوم لو سمحت,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,سكن في الفيوم لو سمحت,"سكن, الفيوم, سمحت"
fayoum_hotels,Room in فنادق قرية تونس please,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in فنادق قريه تونس please,"room, فنادق, قريه, تونس"
fayoum_hotels,Fayoum hotels ASAP,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Fayoum hotels ASAP,"fayoum, hotels, asap"
fayoum_emergency,شرطة الفيوم,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,شرطه الفيوم,"شرطه, الفيوم"
fayoum_emergency,Fayoum emergency help,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum emergency help,"fayoum, emergency, help"
fayoum_emergency,Fayoum ambulance ASAP,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance ASAP,"fayoum, ambulance, asap"
fayoum_hotels,موقع فنادق قرية تونس مساعدة,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,موقع فنادق قريه تونس مساعده,"موقع, فنادق, قريه, تونس, مساعده"
fayoum_hotels,فندق كوم الدكة services help,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق كوم الدكه services help,"فندق, كوم, الدكه, services, help"
fayoum_emergency,نجدة الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,نجده الفيوم لو سمحت,"نجده, الفيوم, سمحت"
fayoum_hotels,فندق أوبرج الفيوم rates now,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق اوبرج الفيوم rates now,"فندق, اوبرج, الفيوم, rates, now"
fayoum_hotels,أوتيلات الفيوم لو سمحت,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اوتيلات الفيوم لو سمحت,"اوتيلات, الفيوم, سمحت"
fayoum_emergency,شرطة الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,شرطه الفيوم لو سمحت,"شرطه, الفيوم, سمحت"
fayoum_attractions,أنشطة شلالات الفيوم لو سمحت,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه شلالات الفيوم لو سمحت,"انشطه, شلالات, الفيوم, سمحت"
fayoum_hotels,فنادق قرية تونس address,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فنادق قريه تونس address,"فنادق, قريه, تونس, address"
fayoum_hotels,خدمات بيوم ليك سايد ريزورت مساعدة,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,خدمات بيوم ليك سايد ريزورت مساعده,"خدمات, بيوم, ليك, سايد, ريزورت, مساعده"
fayoum_hotels,بيوم ليك سايد ريزورت address ASAP,"To book your stay at بيوم ليك سايد ريزورت, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,بيوم ليك سايد ريزورت address ASAP,"بيوم, ليك, سايد, ريزورت, address, asap"
fayoum_hotels,Fayoum hotels kindly,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Fayoum hotels kindly,"fayoum, hotels, kindly"
fayoum_attractions,تذكرة وادي الحيتان من فضلك,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,تذكره وادي الحيتان من فضلك,"تذكره, وادي, الحيتان, فضلك"
fayoum_attractions,تذكرة بحيرة قارون مساعدة,يمكنك معرفة كافة التفاصيل عن بحيرة قارون والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,تذكره بحيره قارون مساعده,"تذكره, بحيره, قارون, مساعده"
fayoum_emergency,دكتور الفيوم,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,دكتور الفيوم,"دكتور, الفيوم"
fayoum_hotels,فندق أوبرج الفيوم rating kindly,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق اوبرج الفيوم rating kindly,"فندق, اوبرج, الفيوم, rating, kindly"
fayoum_attractions,Sightseeing شلالات الفيوم help,"You can find all details about شلالات الفيوم, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Sightseeing شلالات الفيوم help,"sightseeing, شلالات, الفيوم, help"
fayoum_attractions,Visit مدينة كرانبس help,"You can find all details about مدينة كرانبس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Visit مدينه كرانبس help,"visit, مدينه, كرانبس, help"
fayoum_emergency,Emergency Fayoum ASAP,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Emergency Fayoum ASAP,"emergency, fayoum, asap"
fayoum_hotels,Room in بيوم ليك سايد ريزورت please,"To book your stay at بيوم ليك سايد ريزورت, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in بيوم ليك سايد ريزورت please,"room, بيوم, ليك, سايد, ريزورت"
fayoum_hotels,Stay at فندق أوبرج الفيوم please,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Stay at فندق اوبرج الفيوم please,"stay, فندق, اوبرج, الفيوم"
fayoum_attractions,خروجة قرية تونس لو سمحت,يمكنك معرفة كافة التفاصيل عن قرية تونس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,خروجه قريه تونس لو سمحت,"خروجه, قريه, تونس, سمحت"
fayoum_hotels,فندق كوم الدكة rates kindly,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق كوم الدكه rates kindly,"فندق, كوم, الدكه, rates, kindly"
fayoum_emergency,Fayoum ambulance please,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance please,"fayoum, ambulance"
fayoum_attractions,خروجة شلالات الفيوم مساعدة,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,خروجه شلالات الفيوم مساعده,"خروجه, شلالات, الفيوم, مساعده"
fayoum_attractions,صور شلالات الفيوم يا فندم,يمكنك معرفة كافة التفاصيل عن شلالات الفيوم والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,صور شلالات الفيوم يا فندم,"صور, شلالات, الفيوم, فندم"
fayoum_emergency,Accident Fayoum please,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Accident Fayoum please,"accident, fayoum"
fayoum_hotels,Stay at فندق أوبرج الفيوم now,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Stay at فندق اوبرج الفيوم now,"stay, فندق, اوبرج, الفيوم, now"
fayoum_hotels,تقييم فندق كوم الدكة من فضلك,لحجز إقامتك في فندق كوم الدكة، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,تقييم فندق كوم الدكه من فضلك,"تقييم, فندق, كوم, الدكه, فضلك"
fayoum_attractions,Sightseeing ماجيك ليك ASAP,"You can find all details about ماجيك ليك, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Sightseeing ماجيك ليك ASAP,"sightseeing, ماجيك, ليك, asap"
fayoum_emergency,Report Fayoum help,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Report Fayoum help,"report, fayoum, help"
fayoum_hotels,أوضة في فندق زاد المسافر الآن,لحجز إقامتك في فندق زاد المسافر، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اوضه في فندق زاد المسافر الان,"اوضه, فندق, زاد, المسافر, الان"
fayoum_emergency,إسعاف الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,اسعاف الفيوم مساعده,"اسعاف, الفيوم, مساعده"
fayoum_hotels,Book فنادق قرية تونس ASAP,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Book فنادق قريه تونس ASAP,"book, فنادق, قريه, تونس, asap"
fayoum_hotels,إقامة في فنادق قرية تونس الآن,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اقامه في فنادق قريه تونس الان,"اقامه, فنادق, قريه, تونس, الان"
fayoum_hotels,فنادق قرية تونس rates now,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فنادق قريه تونس rates now,"فنادق, قريه, تونس, rates, now"
fayoum_emergency,إسعاف الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,اسعاف الفيوم لو سمحت,"اسعاف, الفيوم, سمحت"
fayoum_hotels,Room in فنادق قرية تونس help,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in فنادق قريه تونس help,"room, فنادق, قريه, تونس, help"
fayoum_attractions,عايز أزور بحيرة قارون يا فندم,يمكنك معرفة كافة التفاصيل عن بحيرة قارون والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,عايز ازور بحيره قارون يا فندم,"ازور, بحيره, قارون, فندم"
fayoum_attractions,خروجة بحيرة قارون,يمكنك معرفة كافة التفاصيل عن بحيرة قارون والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,خروجه بحيره قارون,"خروجه, بحيره, قارون"
fayoum_attractions,Sightseeing مدينة كرانبس ASAP,"You can find all details about مدينة كرانبس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Sightseeing مدينه كرانبس ASAP,"sightseeing, مدينه, كرانبس, asap"
fayoum_attractions,تذكرة وادي الريان لو سمحت,يمكنك معرفة كافة التفاصيل عن وادي الريان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,تذكره وادي الريان لو سمحت,"تذكره, وادي, الريان, سمحت"
fayoum_hotels,Stay at فندق كوم الدكة,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Stay at فندق كوم الدكه,"stay, فندق, كوم, الدكه"
fayoum_emergency,Fayoum ambulance ASAP,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance ASAP,"fayoum, ambulance, asap"
fayoum_emergency,Fayoum police help,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum police help,"fayoum, police, help"
fayoum_attractions,تذكرة وادي الحيتان مساعدة,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,تذكره وادي الحيتان مساعده,"تذكره, وادي, الحيتان, مساعده"
fayoum_attractions,أنشطة ماجيك ليك من فضلك,يمكنك معرفة كافة التفاصيل عن ماجيك ليك والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه ماجيك ليك من فضلك,"انشطه, ماجيك, ليك, فضلك"
fayoum_emergency,أمن الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,امن الفيوم مساعده,"امن, الفيوم, مساعده"
fayoum_attractions,تذكرة هرم هوارة يا فندم,يمكنك معرفة كافة التفاصيل عن هرم هوارة والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,تذكره هرم هواره يا فندم,"تذكره, هرم, هواره, فندم"
fayoum_attractions,قصر قارون activities ASAP,"You can find all details about قصر قارون, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,قصر قارون activities ASAP,"قصر, قارون, activities, asap"
fayoum_attractions,Sightseeing شلالات الفيوم kindly,"You can find all details about شلالات الفيوم, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Sightseeing شلالات الفيوم kindly,"sightseeing, شلالات, الفيوم, kindly"
fayoum_hotels,موقع فندق كوم الدكة مساعدة,لحجز إقامتك في فندق كوم الدكة، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,موقع فندق كوم الدكه مساعده,"موقع, فندق, كوم, الدكه, مساعده"
fayoum_hotels,تقييم فندق أوبرج الفيوم مساعدة,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,تقييم فندق اوبرج الفيوم مساعده,"تقييم, فندق, اوبرج, الفيوم, مساعده"
fayoum_hotels,خدمات فندق زاد المسافر لو سمحت,لحجز إقامتك في فندق زاد المسافر، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,خدمات فندق زاد المسافر لو سمحت,"خدمات, فندق, زاد, المسافر, سمحت"
fayoum_attractions,ماجيك ليك photos,"You can find all details about ماجيك ليك, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,ماجيك ليك photos,"ماجيك, ليك, photos"
fayoum_attractions,رحلة قصر قارون من فضلك,يمكنك معرفة كافة التفاصيل عن قصر قارون والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,رحله قصر قارون من فضلك,"رحله, قصر, قارون, فضلك"
fayoum_attractions,وادي الريان tickets kindly,"You can find all details about وادي الريان, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,وادي الريان tickets kindly,"وادي, الريان, tickets, kindly"
fayoum_attractions,أنشطة ماجيك ليك مساعدة,يمكنك معرفة كافة التفاصيل عن ماجيك ليك والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه ماجيك ليك مساعده,"انشطه, ماجيك, ليك, مساعده"
fayoum_hotels,أسعار بيوم ليك سايد ريزورت من فضلك,لحجز إقامتك في بيوم ليك سايد ريزورت، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اسعار بيوم ليك سايد ريزورت من فضلك,"اسعار, بيوم, ليك, سايد, ريزورت, فضلك"
fayoum_emergency,Pharmacy Fayoum ASAP,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Pharmacy Fayoum ASAP,"pharmacy, fayoum, asap"
fayoum_emergency,مستشفى الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم لو سمحت,"مستشفي, الفيوم, سمحت"
fayoum_hotels,Stay at فنادق قرية تونس help,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Stay at فنادق قريه تونس help,"stay, فنادق, قريه, تونس, help"
fayoum_attractions,Sightseeing مدينة كرانبس kindly,"You can find all details about مدينة كرانبس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Sightseeing مدينه كرانبس kindly,"sightseeing, مدينه, كرانبس, kindly"
fayoum_attractions,ماجيك ليك tickets ASAP,"You can find all details about ماجيك ليك, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,ماجيك ليك tickets ASAP,"ماجيك, ليك, tickets, asap"
fayoum_attractions,قصر قارون trip kindly,"You can find all details about قصر قارون, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,قصر قارون trip kindly,"قصر, قارون, trip, kindly"
fayoum_attractions,جمال ماجيك ليك الآن,يمكنك معرفة كافة التفاصيل عن ماجيك ليك والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,جمال ماجيك ليك الان,"جمال, ماجيك, ليك, الان"
fayoum_hotels,فنادق قرية تونس address please,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فنادق قريه تونس address please,"فنادق, قريه, تونس, address"
fayoum_hotels,خدمات فندق أوبرج الفيوم لو سمحت,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,خدمات فندق اوبرج الفيوم لو سمحت,"خدمات, فندق, اوبرج, الفيوم, سمحت"
fayoum_attractions,قصر قارون tickets,"You can find all details about قصر قارون, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,قصر قارون tickets,"قصر, قارون, tickets"
fayoum_attractions,عايز أزور وادي الحيتان,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,عايز ازور وادي الحيتان,"ازور, وادي, الحيتان"
fayoum_hotels,Room in بيوم ليك سايد ريزورت ASAP,"To book your stay at بيوم ليك سايد ريزورت, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in بيوم ليك سايد ريزورت ASAP,"room, بيوم, ليك, سايد, ريزورت, asap"
fayoum_emergency,Fayoum ambulance kindly,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance kindly,"fayoum, ambulance, kindly"
fayoum_emergency,أمن الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,امن الفيوم لو سمحت,"امن, الفيوم, سمحت"
fayoum_attractions,Sightseeing هرم هوارة help,"You can find all details about هرم هوارة, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Sightseeing هرم هواره help,"sightseeing, هرم, هواره, help"
